"farm","mean_R0_dm","sd_R0_dm","mean_R0_plf","sd_R0_plf","days"
"Farm1",9.44598031518387,7.96405248420139,11.8845177768395,9.1779728337969,"1-10 days"
"Farm2",5.05381128738493,4.71531837528818,6.20135529596754,4.92494557767569,"1-10 days"
"Farm3",31.1570313193019,20.7672233478952,26.2280886094237,16.9793466007366,"1-10 days"
"Farm4",15.468340044955,8.95233049067213,16.8349134140875,9.29726005989078,"1-10 days"
"Farm1",7.1378268559158,5.91980492918688,8.63444508329992,6.82068419407859,"1-15 days"
"Farm2",4.09162660721335,3.84584611673545,4.82198130963907,3.88878831586398,"1-15 days"
"Farm3",21.2221248189913,14.3859092240474,17.9771522268351,11.7957211753585,"1-15 days"
"Farm4",11.0323557218678,6.46070216385853,11.466914112627,6.59565345184847,"1-15 days"
"Farm1",3.6598851086682,3.1577638668298,4.19723304602717,3.51923537599587,"total outbreak period"
"Farm2",1.6565579698731,1.84337586441944,1.73320200107413,1.81626538857362,"total outbreak period"
"Farm3",13.9095628187787,9.49629558310411,11.7807578091512,7.79773221380468,"total outbreak period"
"Farm4",9.38016002214439,5.56249651426936,9.59936137056202,5.59866715259653,"total outbreak period"
"Farm1",10.1189353333948,8.54681497161745,19.8354051124678,14.516220802797,"peak incidence"
"Farm2",5.05381128738493,4.71531837528818,10.0472893016795,6.95708977981529,"peak incidence"
"Farm3",42.3931266020536,27.8656525945055,35.4763792054156,22.8024397243848,"peak incidence"
"Farm4",20.5707806685377,11.8343985657365,26.2141210519239,13.9200836294267,"peak incidence"
